IDCC;Operateur de competences;Libelle;obs
5557;OPCO Mobilite;Convention collective nationale des personnels navigants d'execution des passages d'eau;
5619;OCAPIAT;Convention collective nationale de la peche professionnelle maritime;
7001;OCAPIAT;Convention collective nationale des cooperatives et SICA de production, transformation et vente du betail et des viandes;
7002;OCAPIAT;Convention collective nationale des cooperatives et SICA de cereales, de meunerie, d'approvisionnement et d'alimentation du betail et d'oleagineux;
7003;OCAPIAT;Convention collective nationale des cooperatives agricoles, union de cooperatives agricoles et SICA fabriquant des conserves de fruits et de legumes, des plats cuisines et des specialites;
7004;OCAPIAT;Convention collective nationale des cooperatives laitieres, unions de cooperatives laitieres et SICA laitieres;
7005;OCAPIAT;Convention collective nationale des caves cooperatives et de leurs unions elargie aux SICA vinicoles;
7006;OCAPIAT;Convention collective nationale des cooperatives, unions de cooperatives agricoles et SICA de fleurs, de fruits et legumes et de pommes de terre;
7007;OCAPIAT;Convention collective nationale des cooperatives, unions de cooperatives agricoles et SICA de teillage de lin;
7008;OCAPIAT;Convention collective nationale du personnel des organismes de contrele laitier;
7009;OCAPIAT;Convention collective nationale des entreprises d'accouvage et de selection de produits avicoles;
7010;OCAPIAT;Convention collective nationale du personnel des elevages aquacoles;
7012;OCAPIAT;Convention collective nationale des centres equestres;
7013;OCAPIAT;Convention collective nationale des etablissements d'entraenement des chevaux de courses au trot;
7014;OCAPIAT;Convention collective nationale des etablissements d'entraenement des chevaux de courses au galop;
7017;OCAPIAT;Convention collective nationale des parcs et jardins zoologiques ouverts au public;
7018;OCAPIAT;Convention collective nationale des entreprises du paysage;
7019;OCAPIAT;Convention collective nationale de la conchyliculture;
7020;OCAPIAT;Convention collective nationale du reseau des centres d'economie rurale;
7021;OCAPIAT;Convention collective nationale des entreprises relevant de la selection et de la reproduction animale;
7023;OCAPIAT;Entreprises agricoles de deshydratation;
7501;OCAPIAT;Convention collective nationale des caisses regionales du credit agricole;
7502;OCAPIAT;Convention collective nationale de la Mutualite sociale agricole;
7503;OCAPIAT;Convention collective nationale des distilleries cooperatives viticoles et SICA de distillation;
7508;OCAPIAT;Convention collective nationale des Maisons familiales rurales, instituts ruraux et centres;
7509;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des organismes de formation et de promotion agricoles;
7513;OCAPIAT;Convention collective nationale des centres d'initiatives pour valoriser l'agriculture et le milieu rural;
7514;OCAPIAT;Convention collective nationale des organismes de la Confederation paysanne;
7515;OCAPIAT;Convention collective nationale des societes d'amenagement foncier et d'etablissement rural (SAFER);
7520;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de l'enseignement agricole prive (CNEAP);
8115;OCAPIAT;Convention collective regionale des hippodromes ele-de-France Cabourg Caen Chantilly Deauville;
8435;OCAPIAT;Convention collective regionale des cooperatives fruitieres Ain Doubs Jura;
N.A.;OPCO 2i;Accord national du 16 janvier 1979 sur le champ d'application des accords nationaux de la metallurgie;
na;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Secteur des exploitations forestieres et scieries;
na;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Secteur des proprietes forestieres;
;;;
;;;
